playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Proper Patola,39ujbBjTwwqUFySaCYDMMT,Badshah,Namaste England (Original Motion Picture Soundtrack),https://i.scdn.co/image/4ce512c134360effeed62ac7f24d2bb7aaae6860,0.77,0.824,C#,-6.491,minor,0.0851,0.485,0,0.318,0.49,172.006,178605,4,C# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Jind Mahi,3SJVCbBFTxR6UvvTWRNbMp,Diljit Dosanjh,Jind Mahi,https://i.scdn.co/image/5ec0ca1d1f2da87f6bfa8f105604c066032ce3e9,0.73,0.705,F,-4.358,minor,0.0328,0.286,0,0.113,0.655,139.924,175000,4,F minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Gwandian (feat. Richa Chadda),72hncYiVFu5oqerfJOdbai,Dr Zeus,Global Injection,https://i.scdn.co/image/b3a31577a843038746097219d6457e1458ae7685,0.803,0.851,F#,-5.112,minor,0.106,0.324,5.52e-6,0.441,0.883,106.852,174584,4,F# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Dance,7fWMvmH2YLxabiHfxH03CO,F1rstman,Dance,https://i.scdn.co/image/77eb7c17cafe5503e8196b15c10ab670625cdaf0,0.777,0.814,G#,-5.42,minor,0.0465,0.0118,9.75e-6,0.05,0.766,97.974,209602,4,G# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Aitvaar,1oTyX0QcxOmnJlilzhfak1,Jaz Dhami,Pieces of Me,https://i.scdn.co/image/a7deb527ab97c5e6819b374aa40f7595d4d67d88,0.737,0.753,C#,-5.14,major,0.276,0.175,0,0.113,0.668,171.853,172326,4,C# major
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,New Year Mix 2018 - DJ Kiran Kamath,6yESq1llaLQJSbGVex6La8,Dj Kiran Kamath,New Year Mix 2018 (DJ Kiran Kamath),https://i.scdn.co/image/ada971da186c7e3d930640e77dbc8c387ca39150,0.698,0.902,B,-3.789,minor,0.0451,0.0663,2.56e-4,0.281,0.756,102.053,212353,4,B minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Call,0OrBLnWKN7bI60IXPYi8F6,D Soldierz,Call - Single,https://i.scdn.co/image/7a3f95c6c9d96894e53d8ea49b0b7bae5323c63b,0.825,0.704,G,-4.777,major,0.042,0.467,2.45e-4,0.113,0.661,97.981,224119,4,G major
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,New Direction,6GaNtKuiLXMfNAXRMOjraa,Subaig Singh,New Direction,https://i.scdn.co/image/8b1d213eabd5bf12f6150b0433d89734cc5c416e,0.718,0.858,G#,-3.32,minor,0.0601,0.395,0,0.228,0.705,102.997,240000,4,G# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Bom Diggy,7Dhy1R9NmD96wfr7VJEN37,Zack Knight,Bom Diggy - Single,https://i.scdn.co/image/9dc07f4a2b90f6ad180b9ad3b0a86bd97eff614e,0.793,0.777,E,-5.636,minor,0.197,0.273,0,0.144,0.528,103.956,207692,4,E minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Bhare Bazaar,4j779sUc98SGgsEP4bl1N5,Rishi Rich,Bhare Bazaar,https://i.scdn.co/image/ad11d3b6c409fec483fb2c0ef01ff195eb443a52,0.855,0.849,B,-4.472,major,0.0549,0.276,0,0.0302,0.699,126.028,214286,4,B major
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Going to America,7yvqrojd4NUJCyyJpLX6WN,Nucleya,Going to America,https://i.scdn.co/image/534c12c7ffe556dc3c0dc6e679f91298eaf80af4,0.692,0.673,F#,-7.02,minor,0.193,0.134,4.81e-6,0.391,0.766,173.849,179310,4,F# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Buzz,3XYvdqcZrTmRntFDDbJkJd,Aastha Gill,Buzz,https://i.scdn.co/image/7d0183f84cfddf050023360bdc278375694a628b,0.663,0.551,D#,-8.272,minor,0.109,0.236,3.57e-5,0.0923,0.601,113.314,193414,3,D# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Bollywood Medley 6,0R4QLXjzI2S1uHyw2nFIlK,Zack Knight,Bollywood Medley 6,https://i.scdn.co/image/79a88953f92067e93bf587ced24c96d3a2844950,0.429,0.279,A,-10.981,minor,0.059,0.835,2.03e-5,0.105,0.309,175.432,153409,4,A minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,"Tip Tip - From ""Lockdown""",69iaaF0VAWOciXqJ2wfe54,Badshah,"Tip Tip (From ""Lockdown"")",https://i.scdn.co/image/b3350e6e58d4393ce702d487bce5b3c9aa8f906f,0.692,0.685,A#,-8.251,minor,0.0463,0.545,0.0796,0.0962,0.429,103.946,186752,4,A# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Galtiyan,0IqNVZdY5Cc5WPH7lmfRdm,Zack Knight,Galtiyan,https://i.scdn.co/image/63282c0c68646bdbc8647cccd9fbe047cd7677ed,0.688,0.486,A#,-8.672,minor,0.138,0.449,0,0.107,0.363,93.419,197647,4,A# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Thumka,7sw49gd22TmoSW3sMGuHbn,Zack Knight,Thumka,https://i.scdn.co/image/96e81406d982703e35794aa5dd7833d09d400868,0.778,0.801,F,-6.456,major,0.0758,0.0284,0,0.327,0.62,106.061,167438,4,F major
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Naah,0zRsGGueSQLRkYWs4kPA4V,Harrdy Sandhu,Naah,https://i.scdn.co/image/0861e3f75caccb9cfa6d357f34bf290d53e748ec,0.715,0.863,D,-2.539,minor,0.063,0.62,6.32e-5,0.0972,0.828,99.981,190000,4,D minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Jaani Tera Naa,0LZA36VEmc6n0Y7X29zIgE,Sunanda Sharma,Jaani Tera Naa,https://i.scdn.co/image/5aa43cc26ece91fb995c0e6fe39611ba34068e9a,0.776,0.882,G#,-2.864,minor,0.0456,0.0653,1.51e-4,0.11,0.789,93.99,188606,4,G# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Daru Badnaam,2TzyJEUfWHGRsk3r6Emvbk,Param Singh,Daru Badnaam,https://i.scdn.co/image/341d1685c7a2237c8f5c7f232929be1b273437f2,0.541,0.676,G#,-3.893,minor,0.153,0.442,0,0.159,0.845,90.037,185333,4,G# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,YTL Yaar Tera LIT,0FOttmcxs2gtOhUHB9SmM3,Mickey Singh,YTL - Yaar Tera LIT,https://i.scdn.co/image/a843cbefa19069299da2d429dabda56d4f240ed3,0.581,0.82,D#,-3.697,minor,0.136,0.0569,0,0.167,0.446,167.889,205540,4,D# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Teeje Week,000RDCYioLteXcutOjeweY,Jordan Sandhu,Teeje Week,https://i.scdn.co/image/816b846d0f9bc33130ab76fba6dd6dd06f0739a6,0.679,0.77,C,-3.537,major,0.19,0.0583,0,0.0825,0.839,161.721,190203,4,C major
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Phone,6MRuNaMaH65vGyek33fXMV,Mickey Singh,Phone,https://i.scdn.co/image/23505461ba818fe2847814b51c9cdf0b5abadd8d,0.448,0.693,F,-5.425,minor,0.0764,0.127,2.02e-6,0.0815,0.55,91.561,212928,4,F minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Jo Tu Na Mila,6DefzsWqnwrFrmNVnJxWkS,Asim Azhar,Jo Tu Na Mila,https://i.scdn.co/image/4a8941b78f471171d9f7a42a8bad2a8ca836794f,0.508,0.507,C,-5.33,minor,0.0384,0.0636,1.15e-5,0.359,0.218,159.68,234037,4,C minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Bungee Jumping,43nNz6JNOYX2M3YsGq8hnc,Naughty Boy,Bungee Jumping,https://i.scdn.co/image/77eb7c17cafe550322a93379a0b5cafdbae82924,0.492,0.544,C#,-7.374,minor,0.0371,0.526,0.0709,0.195,0.13,132.141,229773,4,C# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Te Bote Punjabi (Remix),5ButoUh5xM097isfCBxKlE,Kiat,Te Bote Punjabi (Remix),https://i.scdn.co/image/7dd3f76f67b5694912bdcec1280120d28d205a1f,0.669,0.733,E,-4.383,minor,0.0317,0.0223,6.36e-6,0.0663,0.196,101.948,240000,4,E minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Patakay,2UB5xkPwY3Y2tVD0GbIccf,DJ Harpz,Patakay,https://i.scdn.co/image/731c0e921bb7d8df492df355bd18b223a6ae9967,0.771,0.753,C#,-6.039,minor,0.116,0.318,0,0.0835,0.623,133.346,237750,5,C# minor
TOP HITS INDIA - TOP 50 INDIA - INDIA TOP 50 - TOP SONGS IN INDIA 2019,https://pl.scdn.co/images/pl/default/dc331bd423ccd1f00f914e627d71e06e4085d073,Bills,1YHlgbQb7qACT02vSgRopY,Zack Knight,Bills,https://i.scdn.co/image/47a39733f62257cc40993861c66136d0b3ef6d17,0.84,0.574,A,-5.941,minor,0.277,0.364,0,0.145,0.427,110.036,201454,4,A minor
